no,state_name,district_name

1. Andhra Pradesh (AP), Alluri Sitharama Raju Paderu
2. Andhra Pradesh (AP), Anakapalli Anakapalli
3. Andhra Pradesh (AP), Ananthapuramu Ananthapuramu
4. Andhra Pradesh (AP), Annamayya Rayachoti
5. Andhra Pradesh (AP), Bapatla Bapatla
6. Andhra Pradesh (AP), Chittoor Chittoor
7. Andhra Pradesh (AP), Dr. B.R. Ambedkar Konaseema Amalapuram
8. Andhra Pradesh (AP), East Godavari Rajamahendravaram
9. Andhra Pradesh (AP), Eluru Eluru
10. Andhra Pradesh (AP), Guntur Guntur
11. Andhra Pradesh (AP), Kakinada Kakinada
12. Andhra Pradesh (AP), Krishna Machilipatnam
13. Andhra Pradesh (AP), Kurnool Kurnool
14. Andhra Pradesh (AP), Nandyal Nandyal
15. Andhra Pradesh (AP), NTR Vijayawada
16. Andhra Pradesh (AP), Palnadu Narasaraopet
17. Andhra Pradesh (AP), Parvathipuram Manyam Parvathipuram
18. Andhra Pradesh (AP), Prakasam Ongole
19. Andhra Pradesh (AP), Srikakulam Srikakulam
20. Andhra Pradesh (AP), Sri Potti Sriramulu Nellore Nellore
21. Andhra Pradesh (AP), Sri Sathya Sai Puttaparthi
22. Andhra Pradesh (AP), Tirupati Tirupati
23. Andhra Pradesh (AP), Visakhapatnam Visakhapatnam
24. Andhra Pradesh (AP), Vizianagaram Vizianagaram
25. Andhra Pradesh (AP), West Godavari Bhimavaram
26. Andhra Pradesh (AP), YSR Kadapa
27. Arunachal Pradesh (AR), Anjaw Hawai
28. Arunachal Pradesh (AR), Changlang Changlang
29. Arunachal Pradesh (AR), Dibang Valley Anini
30. Arunachal Pradesh (AR), East Kameng Seppa
31. Arunachal Pradesh (AR), East Siang Pasighat
32. Arunachal Pradesh (AR), Itanagar Itanagar
33. Arunachal Pradesh (AR), Kamle Raga
34. Arunachal Pradesh (AR), Kra Daadi Jamin
35. Arunachal Pradesh (AR), Kurung Kumey Koloriang
36. Arunachal Pradesh (AR), Lepa Rada Tato
37. Arunachal Pradesh (AR), Lohit Tezu
38. Arunachal Pradesh (AR), Longding Longding
39. Arunachal Pradesh (AR), Lower Dibang Valley Roing
40. Arunachal Pradesh (AR), Lower Siang Likabali
41. Arunachal Pradesh (AR), Lower Subansiri Ziro
42. Arunachal Pradesh (AR), Namsai Namsai
43. Arunachal Pradesh (AR), Pakke Kessang Lemmi
44. Arunachal Pradesh (AR), Papum Pare Yupia
45. Arunachal Pradesh (AR), Shi-Yomi Tato
46. Arunachal Pradesh (AR), Siang Yingkiong
47. Arunachal Pradesh (AR), Tawang Tawang
48. Arunachal Pradesh (AR), Tirap Khonsa
49. Arunachal Pradesh (AR), Upper Dibang Valley Anini
50. Arunachal Pradesh (AR), Upper Siang Yingkiong
